Date,Price_in_BTC
2014-09-17,0.0068691588508307
2014-09-18,0.0072860709490187
2014-09-19,0.0078230278452539
2014-09-22,0.007554357670604
2014-09-23,0.0069632002206372
2014-09-24,0.00722935711084
2014-09-25,0.0074348717476354
2014-09-26,0.0074896461279479
2014-09-29,0.0081312069714124
2014-09-30,0.0077672740145989
2014-10-01,0.0079076679310097
2014-10-02,0.0079891329862699
2014-10-03,0.0083293463826077
2014-10-06,0.0091811349502668
2014-10-07,0.0090262258144296
2014-10-08,0.0085000282746301
2014-10-09,0.0082952998094584
2014-10-10,0.0083858369147707
2014-10-13,0.0077776410828474
2014-10-14,0.0076957619071617
2014-10-15,0.0076107024396869
2014-10-16,0.0077857879402613
2014-10-17,0.0078200323169448
2014-10-20,0.0078112551130663
2014-10-21,0.0078426802536842
2014-10-22,0.0078883910056939
2014-10-23,0.0085096410571983
2014-10-24,0.0085141417010489
2014-10-27,0.0087198183213875
2014-10-28,0.0086922355811919
2014-10-29,0.0092731925375246
2014-10-30,0.0088964830855697
2014-10-31,0.0090476203912682
2014-11-03,0.0094015035547351
2014-11-04,0.0091787393213594
2014-11-05,0.0089031656843856
2014-11-06,0.0086761712646023
2014-11-07,0.0089146209522421
2014-11-10,0.0082510269742682
2014-11-11,0.0082718014413256
2014-11-12,0.0071642569793231
2014-11-13,0.0071291909174923
2014-11-14,0.0076869325678713
2014-11-17,0.0078715464605577
2014-11-18,0.0080250959057831
2014-11-19,0.0080067269907857
2014-11-20,0.0084604849797466
2014-11-21,0.0086504701623621
2014-11-24,0.0079702625907549
2014-11-25,0.0078886793834627
2014-11-26,0.0080353994010975
2014-11-28,0.0075973509251614
2014-12-01,0.0077271950012472
2014-12-02,0.0076406646785936
2014-12-03,0.0077144604467344
2014-12-04,0.0079341669856555
2014-12-05,0.0077629529890955
2014-12-08,0.0080420770886566
2014-12-09,0.0083655342612389
2014-12-10,0.0084130905735029
2014-12-11,0.0083907262197048
2014-12-12,0.0083578697807307
2014-12-15,0.0083916083674693
2014-12-16,0.0087980259220532
2014-12-17,0.0090297584523716
2014-12-18,0.0092245885586619
2014-12-19,0.0091491714801203
2014-12-22,0.0087484865276536
2014-12-23,0.0086737683630454
2014-12-24,0.0089122389165216
2014-12-26,0.0086468203144615
2014-12-29,0.0090766620950164
2014-12-30,0.0092328881418903
